player_id,salary,season,season_end,season_start,team
abdelal01,"$395,000",1990-91,1991,1990,Portland Trail Blazers
abdelal01,"$494,000",1991-92,1992,1991,Portland Trail Blazers
abdelal01,"$500,000",1992-93,1993,1992,Boston Celtics
abdelal01,"$805,000",1993-94,1994,1993,Boston Celtics
abdelal01,"$650,000",1994-95,1995,1994,Sacramento Kings
abdulka01,"$1,530,000",1984-85,1985,1984,Los Angeles Lakers
abdulka01,"$2,030,000",1985-86,1986,1985,Los Angeles Lakers
abdulka01,"$2,000,000",1987-88,1988,1987,Los Angeles Lakers
abdulka01,"$3,000,000",1988-89,1989,1988,Los Angeles Lakers
abdulma02,"$1,660,000",1990-91,1991,1990,Denver Nuggets
abdulma02,"$2,008,000",1991-92,1992,1991,Denver Nuggets
abdulma02,"$2,358,000",1992-93,1993,1992,Denver Nuggets
abdulma02,"$1,825,000",1993-94,1994,1993,Denver Nuggets
abdulma02,"$2,200,000",1994-95,1995,1994,Denver Nuggets
abdulma02,"$2,600,000",1995-96,1996,1995,Denver Nuggets
abdulma02,"$3,100,000",1996-97,1997,1996,Sacramento Kings
abdulma02,"$3,300,000",1997-98,1998,1997,Sacramento Kings
abdulma02,"$798,500",2000-01,2001,2000,Vancouver Grizzlies
abdulta01,"$1,226,880",1997-98,1998,1997,Sacramento Kings
abdulta01,"$1,411,000",1998-99,1999,1998,Sacramento Kings
abdulta01,"$1,594,920",1999-00,2000,1999,Denver Nuggets
abdulta01,"$4,500,000",2000-01,2001,2000,Denver Nuggets
abdulta01,"$5,062,500",2001-02,2002,2001,Denver Nuggets
abdulta01,"$5,625,000",2002-03,2003,2002,Dallas Mavericks
abdulta01,"$6,187,500",2003-04,2004,2003,Dallas Mavericks
abdulta01,"$6,750,000",2004-05,2005,2004,Dallas Mavericks
abdulta01,"$3,656,250",2005-06,2006,2005,Dallas Mavericks
abdulta01,"$1,968,750",2006-07,2007,2006,Dallas Mavericks
abdursh01,"$2,186,000",1996-97,1997,1996,Vancouver Grizzlies
abdursh01,"$9,000,000",1999-00,2000,1999,Vancouver Grizzlies
abdursh01,"$10,130,000",2000-01,2001,2000,Vancouver Grizzlies
abdursh01,"$11,250,000",2001-02,2002,2001,Atlanta Hawks
abdursh01,"$12,375,000",2002-03,2003,2002,Atlanta Hawks
abdursh01,"$13,500,000",2003-04,2004,2003,Atlanta Hawks
abdursh01,"$14,625,000",2004-05,2005,2004,Portland Trail Blazers
abdursh01,"$5,000,000",2005-06,2006,2005,Sacramento Kings
abdursh01,"$5,400,000",2006-07,2007,2006,Sacramento Kings
abdursh01,"$5,800,000",2007-08,2008,2007,Sacramento Kings
abdursh01,"$6,600,000",2009-10,2010,2009,Sacramento Kings
abrinal01,"$5,994,764",2016-17,2017,2016,Oklahoma City Thunder
abrinal01,"$5,725,000",2017-18,2018,2017,Oklahoma City Thunder
ackeral01,"$398,762",2005-06,2006,2005,Detroit Pistons
ackeral01,"$839,209",2006-07,2007,2006,Detroit Pistons
ackeral01,"$711,517",2008-09,2009,2008,Los Angeles Clippers
acresma01,"$75,000",1987-88,1988,1987,Boston Celtics
acresma01,"$300,000",1988-89,1989,1988,Boston Celtics
acresma01,"$437,000",1990-91,1991,1990,Orlando Magic
acresma01,"$547,000",1991-92,1992,1991,Orlando Magic
acresma01,"$250,000",1992-93,1993,1992,Houston Rockets
acyqu01,"$665,000",2012-13,2013,2012,Toronto Raptors
acyqu01,"$788,872",2013-14,2014,2013,Toronto Raptors
acyqu01,"$915,243",2014-15,2015,2014,New York Knicks
acyqu01,"$981,348",2015-16,2016,2015,Sacramento Kings
acyqu01,"$1,914,544",2016-17,2017,2016,Brooklyn Nets
acyqu01,"$1,050,961",2016-17,2017,2016,Dallas Mavericks
acyqu01,"$1,709,538",2017-18,2018,2017,Brooklyn Nets
adamsal01,"$500,000",1984-85,1985,1984,Phoenix Suns
adamsal01,"$600,000",1985-86,1986,1985,Phoenix Suns
adamsal01,"$675,000",1987-88,1988,1987,Phoenix Suns
adamsha01,"$412,718",2006-07,2007,2006,New Jersey Nets
adamsha01,"$297,163",2008-09,2009,2008,Los Angeles Clippers
adamsjo01,"$1,344,120",2014-15,2015,2014,Memphis Grizzlies
adamsjo01,"$1,404,600",2015-16,2016,2015,Memphis Grizzlies
adamsjo01,"$1,465,080",2016-17,2017,2016,Memphis Grizzlies
adamsmi01,"$85,000",1985-86,1986,1985,Sacramento Kings
adamsmi01,"$160,000",1987-88,1988,1987,Denver Nuggets
adamsmi01,"$375,000",1988-89,1989,1988,Denver Nuggets
adamsmi01,"$825,000",1990-91,1991,1990,Denver Nuggets
adamsmi01,"$1,309,000",1991-92,1992,1991,Washington Bullets
adamsmi01,"$1,309,000",1992-93,1993,1992,Washington Bullets
adamsmi01,"$1,309,000",1993-94,1994,1993,Washington Bullets
adamsmi01,"$1,240,000",1994-95,1995,1994,Charlotte Hornets
adamsst01,"$2,090,880",2013-14,2014,2013,Oklahoma City Thunder
adamsst01,"$2,184,960",2014-15,2015,2014,Oklahoma City Thunder
adamsst01,"$2,279,040",2015-16,2016,2015,Oklahoma City Thunder
adamsst01,"$3,140,517",2016-17,2017,2016,Oklahoma City Thunder
adamsst01,"$22,471,910",2017-18,2018,2017,Oklahoma City Thunder
addisra01,"$311,000",1991-92,1992,1991,New Jersey Nets
addisra01,"$522,000",1992-93,1993,1992,New Jersey Nets
addisra01,"$250,000",1994-95,1995,1994,Detroit Pistons
addisra01,"$360,000",1995-96,1996,1995,Charlotte Hornets
addisra01,"$290,000",1996-97,1997,1996,Charlotte Hornets
adebaba01,"$2,490,360",2017-18,2018,2017,Miami Heat
adrieje01,"$342,666",2010-11,2011,2010,Golden State Warriors
adrieje01,"$270,427",2011-12,2012,2011,Houston Rockets
adrieje01,"$804,131",2012-13,2013,2012,Charlotte Bobcats
adrieje01,"$916,099",2013-14,2014,2013,Charlotte Bobcats
adrieje01,"$981,084",2014-15,2015,2014,Houston Rockets
afflaar01,"$944,520",2007-08,2008,2007,Detroit Pistons
afflaar01,"$1,015,440",2008-09,2009,2008,Detroit Pistons
afflaar01,"$1,086,240",2009-10,2010,2009,Denver Nuggets
afflaar01,"$1,959,577",2010-11,2011,2010,Denver Nuggets
afflaar01,"$7,562,500",2011-12,2012,2011,Denver Nuggets
afflaar01,"$7,750,000",2012-13,2013,2012,Orlando Magic
afflaar01,"$7,312,500",2013-14,2014,2013,Orlando Magic
afflaar01,"$7,750,000",2014-15,2015,2014,Portland Trail Blazers
afflaar01,"$8,000,000",2015-16,2016,2015,New York Knicks
afflaar01,"$12,500,000",2016-17,2017,2016,Sacramento Kings
afflaar01,"$1,500,000",2017-18,2018,2017,Sacramento Kings
