Team,2020-21,2021-22,2022-23,2023-24
Golden State Warriors,"$175,042,071 ","$166,249,276 ","$115,458,759 ","$82,925,105 "
Brooklyn Nets,"$157,814,503 ","$155,346,060 ","$126,543,145 ","$19,928,571 "
Philadelphia 76ers,"$144,600,127 ","$118,293,259 ","$125,474,415 ","$81,579,437 "
Houston Rockets,"$142,267,551 ","$131,162,683 ","$131,812,562 ","$22,848,583 "
Milwaukee Bucks,"$140,306,680 ","$146,505,466 ","$107,409,548 ","$86,036,717 "
Los Angeles Clippers,"$140,044,613 ","$128,046,065 ","$72,237,344 ","$62,756,444 "
Orlando Magic,"$136,544,492 ","$89,827,361 ","$40,547,000 ","$10,806,484 "
Los Angeles Lakers,"$135,459,639 ","$108,895,517 ","$98,625,709 ","$40,600,080 "
San Antonio Spurs,"$133,350,146 ","$42,499,331 ","$42,530,066 ","$23,602,185 "
Detroit Pistons,"$132,668,175 ","$111,414,049 ","$51,896,600 ","$20,104,318 "
Utah Jazz,"$131,587,967 ","$96,999,503 ","$84,921,943 ","$60,747,888 "
Indiana Pacers,"$130,246,338 ","$102,587,485 ","$73,525,960 ","$21,312,500 "
Minnesota Timberwolves,"$129,527,263 ","$131,134,678 ","$113,022,930 ","$69,930,322 "
Washington Wizards,"$128,562,684 ","$127,872,066 ","$111,505,126 ","$23,366,636 "
Memphis Grizzlies,"$128,519,246 ","$98,411,160 ","$45,236,285 ","$17,870,241 "
Toronto Raptors,"$128,481,711 ","$86,431,535 ","$57,035,720 ","$62,657,099 "
Portland Trail Blazers,"$128,308,277 ","$130,790,090 ","$87,599,310 ","$89,396,898 "
Dallas Mavericks,"$126,463,122 ","$92,809,885 ","$63,021,299 ","$42,712,220 "
Denver Nuggets,"$125,885,711 ","$132,865,698 ","$80,439,477 ","$54,463,005 "
Phoenix Suns,"$124,614,903 ","$127,438,065 ","$68,315,810 ","$41,924,454 "
Miami Heat,"$124,604,440 ","$130,215,788 ","$76,567,410 ","$36,979,645 "
Cleveland Cavaliers,"$124,083,952 ","$79,760,907 ","$71,697,444 ","$15,570,795 "
Chicago Bulls,"$124,006,443 ","$72,671,867 ","$17,120,036 ","$9,835,881 "
Charlotte Hornets,"$121,989,128 ","$72,539,480 ","$48,245,657 ","$44,331,316 "
Boston Celtics,"$117,111,401 ","$131,777,626 ","$112,682,413 ","$70,873,439 "
Sacramento Kings,"$112,113,931 ","$107,083,600 ","$78,918,056 ","$58,907,416 "
New Orleans Pelicans,"$104,760,419 ","$61,950,370 ","$66,653,571 ","$5,722,116 "
Atlanta Hawks,"$102,325,554 ","$100,996,087 ","$79,842,392 ","$26,109,063 "
Oklahoma City Thunder,"$97,037,657 ","$63,490,001 ","$47,006,728 ","$6,940,314 "
New York Knicks,"$88,745,438 ","$58,524,220 ","$22,057,218 ","$10,974,560 "
